"","Code","Date","Mission","Value","Scheduled","Delay","time","pressure","fore","aft","avg","has_pit"
"1","5-A",2006-07-15,"1",8.6e+08,"7/13/2006",2,53,50,NA,NA,2,0
"2","6-E",2007-02-14,"2",6.09e+08,"1/15/2007",30,49,50,0.53,NA,16,1
"3","7-F",2007-06-24,"3",4.73e+08,NA,0,50,50,NA,NA,10.6666666666667,0
"4","8-B",2007-09-29,"4",3.9e+08,NA,0,39,50,NA,NA,8,0
"5","9-E",2008-02-13,"5",7.61e+08,NA,0,51,50,NA,NA,6.4,0
"6","10-A",2008-07-06,"6",1.009e+09,"5/7/2008",60,52,50,NA,NA,15.3333333333333,0
"7","11-C",2008-09-19,"7",1.202e+09,NA,0,47,50,NA,NA,13.1428571428571,0
"8","12-D",2008-12-01,"8",9.49e+08,NA,0,46,100,NA,NA,11.5,0
"9","13-E",2009-03-31,"9",1.136e+09,"3/3/2009",28,49,100,NA,NA,13.3333333333333,0
"10","14-B",2009-05-07,"10",1.075e+09,NA,0,62,200,NA,0.4,12,1
"11","14-C",2009-07-09,"11",9.23e+08,NA,0,56,200,NA,NA,10.9090909090909,0
"12","14-D",2009-12-02,"12",1.364e+09,"10/13/2009",50,49,200,0.28,NA,14.1666666666667,1
"13","14-G",2010-01-07,"13",1.351e+09,NA,0,52,200,NA,NA,13.0769230769231,0
"14","15-A",2010-02-10,"14",1.45e+09,"2/9/2010",1,52,200,NA,NA,12.2142857142857,0
"15","15-C",2010-04-28,"15",1.513e+09,"4/27/2010",1,66,200,0.38,0.1,11.4666666666667,1
"16","15-D",2010-07-15,"16",1.545e+09,NA,0,52,200,NA,NA,10.75,0
"17","15-B",2010-08-01,"17",1.548e+09,NA,0,44,200,NA,NA,10.1176470588235,0
"18","15-G",2010-09-19,"18",1.543e+09,NA,0,49,200,NA,NA,9.55555555555556,0
"19","15-F",2010-10-31,"19",1.604e+09,"10/17/2010",14,38,200,NA,NA,9.78947368421053,0
"20","15-I",2010-11-29,"20",1.664e+09,"11/26/2010",3,43,200,NA,NA,9.45,0
"21","15-J",2011-01-05,"21",1.616e+09,NA,0,40,200,NA,NA,9,0
"22","16-A",2011-02-01,"22",1.612e+09,NA,0,44,200,NA,NA,8.59090909090909,0
"23","16-B",2011-02-28,"23",1.651e+09,NA,0,43,200,NA,NA,8.21739130434783,0
"24","16-C",2011-04-16,"24",1.686e+09,"3/17/2011",30,61,200,NA,0.04,9.125,1
